 nlayers, height, LOG10C01, Z01, Z02, Z03, Z04, Z05, Z06, Z07, Z08, Z09, Z10, Z11, Z12, Z13, Z14, Z15, Z16, Z17, Z18
  1, 37.64, -3.339906e+00,  5.419877e+02,  1.550018e+02,  6.280507e+01,  2.978008e+01,  1.474211e+01,  7.527436e+00,  3.927967e+00,  2.098296e+00,  1.133560e+00,  6.181488e-01,  3.357509e-01,  1.799767e-01,  9.622936e-02,  5.109705e-02,  2.679154e-02,  1.394591e-02,  7.151798e-03,  3.613379e-03
  1, 38.56,  1.352125e-02,  2.441221e+03,  2.348648e+03,  1.837986e+03,  1.456494e+03,  1.153958e+03,  9.119523e+02,  7.176469e+02,  5.625110e+02,  4.371135e+02,  3.363881e+02,  2.545975e+02,  1.885207e+02,  1.371204e+02,  9.760494e+01,  6.777259e+01,  4.598742e+01,  3.034415e+01,  1.944965e+01
  1, 39.65, -1.259954e+00,  5.836761e+03,  4.041595e+03,  2.698356e+03,  1.831723e+03,  1.234926e+03,  8.260620e+02,  5.478204e+02,  3.614020e+02,  2.358416e+02,  1.523140e+02,  9.649745e+01,  5.960434e+01,  3.621452e+01,  2.157911e+01,  1.256682e+01,  7.186947e+00,  4.013079e+00,  2.187062e+00
  1, 35.72, -3.615958e+00,  2.988135e+02,  7.220071e+01,  2.790483e+01,  1.294809e+01,  6.304961e+00,  3.177021e+00,  1.639689e+00,  8.679078e-01,  4.652064e-01,  2.519745e-01,  1.360525e-01,  7.254204e-02,  3.860668e-02,  2.041536e-02,  1.066471e-02,  5.533968e-03,  2.830427e-03,  1.427807e-03
  1, 32.00, -3.764701e+00,  2.280263e+02,  4.822631e+01,  1.806227e+01,  8.278992e+00,  3.994379e+00,  1.997936e+00,  1.024877e+00,  5.397295e-01,  2.880515e-01,  1.554387e-01,  8.365572e-02,  4.447294e-02,  2.360832e-02,  1.245557e-02,  6.493177e-03,  3.363695e-03,  1.718083e-03,  8.663212e-04
  1, 36.13, -1.814061e+00,  6.460908e+03,  3.626063e+03,  2.065971e+03,  1.224897e+03,  7.283726e+02,  4.339331e+02,  2.585645e+02,  1.547511e+02,  9.233563e+01,  5.493791e+01,  3.225501e+01,  1.855299e+01,  1.056106e+01,  5.929054e+00,  3.268697e+00,  1.778629e+00,  9.489611e-01,  4.961094e-01
  1, 47.96, -4.339996e-01,  1.845789e+03,  1.632491e+03,  1.254242e+03,  9.758516e+02,  7.577051e+02,  5.857087e+02,  4.499439e+02,  3.436832e+02,  2.597285e+02,  1.940148e+02,  1.421947e+02,  1.016855e+02,  7.129887e+01,  4.884301e+01,  3.258612e+01,  2.122759e+01,  1.343531e+01,  8.256099e+00
  1, 47.88, -3.900621e+00,  1.168882e+02,  2.753942e+01,  1.058351e+01,  4.900093e+00,  2.382161e+00,  1.198795e+00,  6.180481e-01,  3.268512e-01,  1.750639e-01,  9.476050e-02,  5.113681e-02,  2.725190e-02,  1.449707e-02,  7.663108e-03,  4.001694e-03,  2.075904e-03,  1.061505e-03,  5.354357e-04
  1, 48.04, -1.176111e+00,  3.198498e+03,  2.358493e+03,  1.649394e+03,  1.169555e+03,  8.235819e+02,  5.750438e+02,  3.976811e+02,  2.731020e+02,  1.852398e+02,  1.241230e+02,  8.147652e+01,  5.208436e+01,  3.268692e+01,  2.007826e+01,  1.203275e+01,  7.066972e+00,  4.045389e+00,  2.256271e+00
  1, 30.78, -2.867205e+00,  1.858429e+03,  6.217342e+02,  2.658909e+02,  1.296872e+02,  6.561083e+01,  3.409480e+01,  1.805403e+01,  9.763240e+00,  5.330036e+00,  2.932996e+00,  1.605809e+00,  8.669449e-01,  4.664461e-01,  2.490507e-01,  1.312318e-01,  6.860310e-02,  3.531248e-02,  1.789060e-02
  1, 45.61, -1.854707e+00,  3.674732e+03,  2.171433e+03,  1.285369e+03,  7.862153e+02,  4.808178e+02,  2.937732e+02,  1.790945e+02,  1.093977e+02,  6.649250e+01,  4.022795e+01,  2.398290e+01,  1.399198e+01,  8.067830e+00,  4.582399e+00,  2.553302e+00,  1.402742e+00,  7.549649e-01,  3.978225e-01
  1, 45.75, -4.550292e-02,  1.391901e+03,  1.372235e+03,  1.077302e+03,  8.563437e+02,  6.808170e+02,  5.401140e+02,  4.268586e+02,  3.361598e+02,  2.625843e+02,  2.032358e+02,  1.548045e+02,  1.154501e+02,  8.463043e+01,  6.075478e+01,  4.257500e+01,  2.917293e+01,  1.944996e+01,  1.260350e+01
  1, 38.74, -3.626444e+00,  2.714407e+02,  6.757711e+01,  2.632342e+01,  1.225571e+01,  5.983156e+00,  3.021087e+00,  1.561880e+00,  8.279037e-01,  4.443049e-01,  2.409067e-01,  1.301962e-01,  6.947721e-02,  3.700225e-02,  1.957955e-02,  1.023402e-02,  5.313046e-03,  2.718528e-03,  1.371634e-03
  1, 49.88, -1.567760e+00,  3.108302e+03,  2.069592e+03,  1.341333e+03,  8.866801e+02,  5.827995e+02,  3.805892e+02,  2.467440e+02,  1.594028e+02,  1.020082e+02,  6.469706e+01,  4.029758e+01,  2.449457e+01,  1.466405e+01,  8.619649e+00,  4.956970e+00,  2.802493e+00,  1.548434e+00,  8.357361e-01
  1, 34.41, -1.324746e+00,  8.662593e+03,  5.699757e+03,  3.658626e+03,  2.396492e+03,  1.560779e+03,  1.010052e+03,  6.490575e+02,  4.157642e+02,  2.639024e+02,  1.660802e+02,  1.026761e+02,  6.196279e+01,  3.684376e+01,  2.151978e+01,  1.230156e+01,  6.916358e+00,  3.801690e+00,  2.042030e+00
  1, 42.93, -1.403867e+00,  4.727667e+03,  3.193564e+03,  2.092474e+03,  1.396535e+03,  9.262536e+02,  6.100061e+02,  3.986037e+02,  2.593702e+02,  1.670899e+02,  1.066243e+02,  6.679164e+01,  4.081581e+01,  2.455455e+01,  1.449798e+01,  8.371745e+00,  4.750739e+00,  2.633842e+00,  1.425989e+00
  1, 49.92, -1.808067e+00,  2.986855e+03,  1.839690e+03,  1.123505e+03,  7.053570e+02,  4.417581e+02,  2.758175e+02,  1.715084e+02,  1.066483e+02,  6.588287e+01,  4.045188e+01,  2.444693e+01,  1.444445e+01,  8.425282e+00,  4.835845e+00,  2.720524e+00,  1.507647e+00,  8.178755e-01,  4.340897e-01
  1, 46.59, -1.774911e-01,  1.535929e+03,  1.454077e+03,  1.134677e+03,  8.966401e+02,  7.081984e+02,  5.577779e+02,  4.373084e+02,  3.414079e+02,  2.641552e+02,  2.023444e+02,  1.523770e+02,  1.122139e+02,  8.114780e+01,  5.741271e+01,  3.961246e+01,  2.670507e+01,  1.750425e+01,  1.114446e+01
  1, 34.74,  5.530280e-01,  1.637465e+03,  1.958136e+03,  1.559280e+03,  1.255589e+03,  1.012745e+03,  8.165005e+02,  6.569940e+02,  5.277505e+02,  4.214385e+02,  3.342593e+02,  2.617098e+02,  2.013690e+02,  1.528036e+02,  1.139644e+02,  8.329771e+01,  5.974010e+01,  4.184723e+01,  2.859434e+01
  1, 40.10, -3.557815e+00,  3.092456e+02,  8.108192e+01,  3.202947e+01,  1.500573e+01,  7.360503e+00,  3.730722e+00,  1.934863e+00,  1.028317e+00,  5.531022e-01,  3.004803e-01,  1.626686e-01,  8.693860e-02,  4.636358e-02,  2.456216e-02,  1.285206e-02,  6.678195e-03,  3.419609e-03,  1.726080e-03
  1, 46.74, -2.666909e+00,  1.525245e+03,  6.530148e+02,  3.136649e+02,  1.643376e+02,  8.803018e+01,  4.795481e+01,  2.643039e+01,  1.478586e+01,  8.312572e+00,  4.692597e+00,  2.628067e+00,  1.448084e+00,  7.932989e-01,  4.303792e-01,  2.300514e-01,  1.217853e-01,  6.339161e-02,  3.242056e-02
  1, 33.15,  5.605300e-01,  1.937619e+03,  2.279603e+03,  1.814130e+03,  1.460080e+03,  1.177027e+03,  9.483512e+02,  7.625438e+02,  6.120482e+02,  4.883126e+02,  3.869029e+02,  3.025686e+02,  2.324852e+02,  1.761359e+02,  1.311275e+02,  9.564243e+01,  6.843167e+01,  4.780725e+01,  3.256847e+01
  1, 48.26,  1.227405e-01,  8.932259e+02,  9.619297e+02,  7.615214e+02,  6.100966e+02,  4.893065e+02,  3.919869e+02,  3.131711e+02,  2.495871e+02,  1.975562e+02,  1.551532e+02,  1.201275e+02,  9.125508e+01,  6.826290e+01,  5.010465e+01,  3.597435e+01,  2.530042e+01,  1.734612e+01,  1.157916e+01
  1, 32.14, -1.875563e-01,  5.800905e+03,  5.068069e+03,  3.881712e+03,  3.010483e+03,  2.329068e+03,  1.793066e+03,  1.371180e+03,  1.042117e+03,  7.831936e+02,  5.814998e+02,  4.233399e+02,  3.005021e+02,  2.090358e+02,  1.419936e+02,  9.388819e+01,  6.059713e+01,  3.798678e+01,  2.311482e+01
  1, 45.72, -2.657551e+00,  1.602346e+03,  6.834634e+02,  3.276047e+02,  1.714003e+02,  9.170767e+01,  4.990975e+01,  2.748492e+01,  1.536482e+01,  8.632672e+00,  4.870632e+00,  2.726442e+00,  1.501625e+00,  8.223062e-01,  4.459603e-01,  2.383049e-01,  1.261194e-01,  6.563125e-02,  3.355869e-02
  1, 40.66, -3.952342e+00,  1.183208e+02,  2.509737e+01,  9.410678e+00,  4.315882e+00,  2.083195e+00,  1.042355e+00,  5.348534e-01,  2.817396e-01,  1.503957e-01,  8.117187e-02,  4.369318e-02,  2.323158e-02,  1.233402e-02,  6.508093e-03,  3.393070e-03,  1.757887e-03,  8.979472e-04,  4.527969e-04
  1, 33.94, -2.114533e+00,  5.566840e+03,  2.714998e+03,  1.406472e+03,  7.760050e+02,  4.337365e+02,  2.448719e+02,  1.391643e+02,  7.991938e+01,  4.596944e+01,  2.647496e+01,  1.509390e+01,  8.451960e+00,  4.696867e+00,  2.580670e+00,  1.395270e+00,  7.461237e-01,  3.918908e-01,  2.020207e-01
  1, 38.90, -8.647591e-02,  2.672936e+03,  2.495034e+03,  1.942431e+03,  1.531392e+03,  1.206425e+03,  9.474504e+02,  7.404490e+02,  5.760515e+02,  4.439873e+02,  3.386627e+02,  2.538406e+02,  1.859611e+02,  1.337205e+02,  9.403383e+01,  6.445660e+01,  4.315593e+01,  2.808323e+01,  1.774549e+01
