 nlayers, height, LOG10C01, LOG10C02, LOG10T01, Z01, Z02, Z03, Z04, Z05, Z06, Z07, Z08, Z09, Z10, Z11, Z12, Z13, Z14, Z15, Z16, Z17, Z18
  2, 45.36, -8.785211e-01, -1.706766e+00,  1.654511e+00,  3.273671e+03,  2.569722e+03,  1.871753e+03,  1.380395e+03,  1.011998e+03,  7.364879e+02,  5.326118e+02,  3.850737e+02,  2.779214e+02,  2.000551e+02,  1.417447e+02,  9.749538e+01,  6.499370e+01,  4.164644e+01,  2.550798e+01,  1.498309e+01,  8.397056e+00,  4.491780e+00
  2, 48.45, -3.714750e+00, -6.366609e-01,  1.230766e+00,  7.327859e+02,  6.516256e+02,  5.017345e+02,  3.913966e+02,  3.048472e+02,  2.364858e+02,  1.823931e+02,  1.399251e+02,  1.062482e+02,  7.977499e+01,  5.879554e+01,  4.230301e+01,  2.985405e+01,  2.059098e+01,  1.383576e+01,  9.079238e+00,  5.789736e+00,  3.585126e+00
  2, 32.62, -3.474515e+00, -2.822118e+00,  9.295367e-01,  1.520518e+03,  5.656773e+02,  2.537811e+02,  1.273381e+02,  6.587967e+01,  3.486794e+01,  1.875141e+01,  1.027358e+01,  5.672187e+00,  3.151929e+00,  1.740657e+00,  9.470733e-01,  5.130619e-01,  2.756027e-01,  1.460134e-01,  7.669373e-02,  3.964316e-02,  2.015413e-02
  2, 31.40, -2.749010e+00, -8.748441e-01,  1.583501e+00,  1.357552e+03,  7.316063e+02,  5.226273e+02,  3.927004e+02,  2.963548e+02,  2.233645e+02,  1.675878e+02,  1.251665e+02,  9.252863e+01,  6.762792e+01,  4.848550e+01,  3.390154e+01,  2.324312e+01,  1.557040e+01,  1.015874e+01,  6.474520e+00,  4.010588e+00,  2.413193e+00
  2, 35.26, -3.100347e-02,  4.527805e-01,  1.900238e+00,  3.552771e+03,  3.300733e+03,  2.567729e+03,  2.022830e+03,  1.592208e+03,  1.249205e+03,  9.752063e+02,  7.577627e+02,  5.832419e+02,  4.442060e+02,  3.323784e+02,  2.430242e+02,  1.743806e+02,  1.223428e+02,  8.365590e+01,  5.587628e+01,  3.628927e+01,  2.291346e+01
  2, 39.87, -1.854498e+00,  1.849969e-01,  1.194344e+00,  1.276496e+03,  7.087651e+02,  4.958496e+02,  3.837495e+02,  3.021627e+02,  2.395695e+02,  1.903986e+02,  1.515075e+02,  1.200773e+02,  9.464771e+01,  7.370952e+01,  5.644553e+01,  4.265103e+01,  3.168757e+01,  2.307786e+01,  1.649627e+01,  1.151951e+01,  7.848498e+00
  2, 33.13, -3.999390e+00, -3.306947e+00,  7.020939e-01,  5.924521e+02,  1.710929e+02,  6.956447e+01,  3.304301e+01,  1.637933e+01,  8.372449e+00,  4.372844e+00,  2.337701e+00,  1.263705e+00,  6.895005e-01,  3.746882e-01,  2.009362e-01,  1.074769e-01,  5.708866e-02,  2.994213e-02,  1.558994e-02,  7.996695e-03,  4.040894e-03
  2, 33.68, -2.230142e+00, -3.645500e+00,  9.181819e-01,  2.357235e+03,  5.293722e+02,  1.541714e+02,  5.707718e+01,  2.288289e+01,  9.753066e+00,  4.351189e+00,  2.033041e+00,  9.777965e-01,  4.821239e-01,  2.396094e-01,  1.186814e-01,  5.918209e-02,  2.958742e-02,  1.468491e-02,  7.304382e-03,  3.600580e-03,  1.778495e-03
  2, 38.13, -1.884347e+00, -8.385906e-01,  1.665616e+00,  5.256002e+03,  2.712256e+03,  1.363741e+03,  7.126680e+02,  3.894410e+02,  2.308242e+02,  1.484506e+02,  1.015527e+02,  7.155135e+01,  5.101554e+01,  3.617769e+01,  2.525243e+01,  1.739731e+01,  1.176632e+01,  7.777777e+00,  5.034373e+00,  3.172931e+00,  1.944939e+00
  2, 30.58, -3.666619e+00,  3.851005e-01,  1.164040e+00,  7.755006e+02,  9.308509e+02,  7.410311e+02,  5.966829e+02,  4.813332e+02,  3.881546e+02,  3.124344e+02,  2.510841e+02,  2.006158e+02,  1.592231e+02,  1.247666e+02,  9.609657e+01,  7.300822e+01,  5.452983e+01,  3.992547e+01,  2.869270e+01,  2.014766e+01,  1.380622e+01
  2, 30.15, -1.874587e+00, -3.550479e-01,  1.305314e+00,  4.472837e+03,  2.088916e+03,  1.299978e+03,  9.459032e+02,  7.116166e+02,  5.410167e+02,  4.122471e+02,  3.141248e+02,  2.377688e+02,  1.784360e+02,  1.317141e+02,  9.507413e+01,  6.739991e+01,  4.674568e+01,  3.161024e+01,  2.088662e+01,  1.341696e+01,  8.371398e+00
  2, 43.48, -3.466929e-01, -9.128719e-01,  1.365242e+00,  2.387865e+03,  2.117716e+03,  1.626497e+03,  1.264669e+03,  9.811178e+02,  7.582460e+02,  5.843189e+02,  4.511843e+02,  3.486389e+02,  2.693340e+02,  2.057478e+02,  1.535858e+02,  1.116927e+02,  7.843708e+01,  5.285338e+01,  3.419911e+01,  2.113354e+01,  1.246631e+01
  2, 33.89, -3.677232e+00, -2.304226e+00,  8.546675e-01,  3.186567e+03,  1.520190e+03,  7.778678e+02,  4.255932e+02,  2.362580e+02,  1.326264e+02,  7.500972e+01,  4.290035e+01,  2.458874e+01,  1.411766e+01,  8.026799e+00,  4.483656e+00,  2.486238e+00,  1.363441e+00,  7.359005e-01,  3.929313e-01,  2.061044e-01,  1.061220e-01
  2, 40.40, -2.216556e+00, -2.555828e+00,  1.679035e+00,  3.718513e+03,  1.869757e+03,  9.725231e+02,  5.244796e+02,  2.810582e+02,  1.501756e+02,  8.012630e+01,  4.306167e+01,  2.315499e+01,  1.248196e+01,  6.672581e+00,  3.510814e+00,  1.840781e+00,  9.585367e-01,  4.931623e-01,  2.521211e-01,  1.271199e-01,  6.316122e-02
  2, 41.65, -2.635204e+00, -9.430824e-03,  1.831420e+00,  1.209149e+03,  2.965542e+02,  8.997228e+01,  4.666413e+01,  3.248592e+01,  2.487242e+01,  1.951591e+01,  1.546084e+01,  1.225985e+01,  9.704864e+00,  7.615712e+00,  5.896270e+00,  4.518720e+00,  3.416426e+00,  2.541322e+00,  1.862258e+00,  1.338734e+00,  9.431922e-01
  2, 32.80, -5.888342e-01,  6.925840e-01,  1.632339e+00,  7.703671e+03,  6.131095e+03,  4.508947e+03,  3.358293e+03,  2.488800e+03,  1.831697e+03,  1.337101e+03,  9.692041e+02,  6.923246e+02,  4.843279e+02,  3.261538e+02,  2.080132e+02,  1.257163e+02,  7.168145e+01,  3.865692e+01,  2.016158e+01,  1.039416e+01,  5.481909e+00
  2, 37.75, -2.751251e+00, -7.866784e-02,  1.468105e+00,  5.487019e+02,  3.821508e+02,  2.934648e+02,  2.327172e+02,  1.854899e+02,  1.480532e+02,  1.180570e+02,  9.403000e+01,  7.445891e+01,  5.855273e+01,  4.543034e+01,  3.461301e+01,  2.598847e+01,  1.916144e+01,  1.383093e+01,  9.786477e+00,  6.756095e+00,  4.544815e+00
  2, 45.41,  1.908608e-01, -2.232930e+00,  1.469310e+00,  1.021362e+03,  1.111869e+03,  8.799671e+02,  7.045718e+02,  5.645866e+02,  4.517221e+02,  3.602319e+02,  2.863307e+02,  2.257559e+02,  1.762791e+02,  1.352987e+02,  1.014708e+02,  7.470383e+01,  5.409389e+01,  3.885565e+01,  2.808176e+01,  2.041360e+01,  1.477446e+01
  2, 46.55, -2.304451e+00, -2.024038e+00,  1.537939e+00,  2.290563e+03,  1.161440e+03,  6.431823e+02,  3.831616e+02,  2.319337e+02,  1.414976e+02,  8.655230e+01,  5.318773e+01,  3.256819e+01,  1.986277e+01,  1.194070e+01,  7.025221e+00,  4.083800e+00,  2.337510e+00,  1.312009e+00,  7.257038e-01,  3.930519e-01,  2.083335e-01
  2, 36.62, -3.981458e+00, -9.844877e-01,  1.379172e+00,  1.340038e+03,  1.075278e+03,  7.954724e+02,  5.961673e+02,  4.447129e+02,  3.294295e+02,  2.419433e+02,  1.763959e+02,  1.270060e+02,  9.026564e+01,  6.282794e+01,  4.258222e+01,  2.828398e+01,  1.835199e+01,  1.159617e+01,  7.161664e+00,  4.300963e+00,  2.510755e+00
  2, 48.64, -2.834967e+00, -3.315537e+00,  1.372970e+00,  8.648527e+02,  2.675295e+02,  1.030839e+02,  4.651662e+01,  2.205220e+01,  1.084792e+01,  5.480243e+00,  2.847415e+00,  1.501553e+00,  8.017929e-01,  4.274669e-01,  2.253539e-01,  1.187314e-01,  6.223872e-02,  3.225831e-02,  1.662330e-02,  8.448757e-03,  4.236285e-03
  2, 35.37, -4.549560e-01, -2.050457e+00,  7.105589e-01,  7.796987e+03,  7.045287e+03,  5.673007e+03,  4.405410e+03,  3.262319e+03,  2.300542e+03,  1.545918e+03,  9.954412e+02,  6.126917e+02,  3.620279e+02,  2.040287e+02,  1.092313e+02,  5.645793e+01,  2.823367e+01,  1.366220e+01,  6.473217e+00,  2.992909e+00,  1.354596e+00
  2, 45.42, -2.408243e+00, -3.833436e+00,  1.448422e+00,  2.338944e+03,  8.861133e+02,  3.395209e+02,  1.391303e+02,  5.744645e+01,  2.404291e+01,  1.019372e+01,  4.431423e+00,  1.956021e+00,  8.786103e-01,  3.963336e-01,  1.778587e-01,  8.065623e-02,  3.684181e-02,  1.681772e-02,  7.737980e-03,  3.559287e-03,  1.647704e-03
  2, 38.06, -3.356384e+00, -2.975574e+00,  1.264912e+00,  8.764567e+02,  3.228572e+02,  1.453547e+02,  7.316821e+01,  3.795812e+01,  2.013726e+01,  1.085169e+01,  5.955976e+00,  3.293488e+00,  1.832630e+00,  1.013310e+00,  5.519409e-01,  2.992999e-01,  1.609159e-01,  8.531970e-02,  4.484553e-02,  2.319529e-02,  1.179883e-02
  2, 39.02, -3.398839e+00, -2.248884e+00,  1.584441e+00,  9.923975e+02,  5.447061e+02,  3.194268e+02,  1.948975e+02,  1.191266e+02,  7.282334e+01,  4.444692e+01,  2.719057e+01,  1.655437e+01,  1.003299e+01,  5.992170e+00,  3.502232e+00,  2.022927e+00,  1.150905e+00,  6.422996e-01,  3.533926e-01,  1.904633e-01,  1.004946e-01
  2, 37.46, -1.487323e+00, -1.321535e-01,  1.773319e+00,  6.813997e+03,  4.343096e+03,  2.718519e+03,  1.730952e+03,  1.077746e+03,  6.469947e+02,  3.716379e+02,  2.062950e+02,  1.117110e+02,  6.079812e+01,  3.411646e+01,  2.021939e+01,  1.285893e+01,  8.581787e+00,  5.847889e+00,  4.008859e+00,  2.724994e+00,  1.825933e+00
  2, 45.50, -2.446845e+00, -2.618484e+00,  1.732289e+00,  2.234031e+03,  1.046458e+03,  5.210660e+02,  2.750079e+02,  1.463679e+02,  7.858153e+01,  4.248975e+01,  2.327468e+01,  1.280416e+01,  7.075656e+00,  3.881609e+00,  2.096683e+00,  1.127604e+00,  6.014522e-01,  3.165158e-01,  1.652073e-01,  8.489873e-02,  4.291971e-02
  2, 36.18, -2.082759e+00, -2.548737e+00,  1.521143e+00,  5.491746e+03,  2.769135e+03,  1.407286e+03,  7.360067e+02,  3.819885e+02,  1.979394e+02,  1.026411e+02,  5.377174e+01,  2.826289e+01,  1.493288e+01,  7.842202e+00,  4.061382e+00,  2.100330e+00,  1.080692e+00,  5.502180e-01,  2.787476e-01,  1.394422e-01,  6.881720e-02
  2, 31.06, -2.908341e+00, -3.156158e+00,  1.885858e+00,  1.716218e+03,  5.509785e+02,  2.218255e+02,  1.014571e+02,  4.806213e+01,  2.343852e+01,  1.168854e+01,  5.984072e+00,  3.107534e+00,  1.634485e+00,  8.588327e-01,  4.465122e-01,  2.322693e-01,  1.203423e-01,  6.171599e-02,  3.150124e-02,  1.587519e-02,  7.900603e-03
  2, 38.66, -3.846968e+00, -3.507609e+00,  1.361269e+00,  2.822931e+02,  8.164391e+01,  3.348103e+01,  1.599067e+01,  7.960570e+00,  4.083359e+00,  2.138981e+00,  1.146319e+00,  6.209944e-01,  3.394505e-01,  1.847647e-01,  9.922906e-02,  5.314408e-02,  2.826047e-02,  1.483713e-02,  7.732125e-03,  3.969231e-03,  2.007034e-03
  2, 34.28, -6.833351e-01, -2.777628e+00,  1.863783e+00,  7.127069e+03,  5.581384e+03,  4.061724e+03,  2.992533e+03,  2.191241e+03,  1.591235e+03,  1.144232e+03,  8.160853e+02,  5.741836e+02,  3.983815e+02,  2.703810e+02,  1.786765e+02,  1.162021e+02,  7.454191e+01,  4.719529e+01,  2.954445e+01,  1.805523e+01,  1.066266e+01
  2, 45.46,  2.349971e-01, -6.784019e-02,  7.339704e-01,  9.371824e+02,  1.050547e+03,  8.402982e+02,  6.870791e+02,  5.682270e+02,  4.724787e+02,  3.925744e+02,  3.247677e+02,  2.658642e+02,  2.148392e+02,  1.701817e+02,  1.314204e+02,  9.919960e+01,  7.291079e+01,  5.201589e+01,  3.607782e+01,  2.421915e+01,  1.572500e+01
  2, 33.87, -2.855285e+00, -2.393113e+00,  1.769208e+00,  1.627714e+03,  6.261526e+02,  3.158682e+02,  1.783014e+02,  1.030448e+02,  6.031050e+01,  3.552560e+01,  2.110345e+01,  1.252954e+01,  7.430521e+00,  4.353280e+00,  2.500599e+00,  1.422307e+00,  7.981784e-01,  4.399732e-01,  2.394221e-01,  1.277644e-01,  6.682044e-02
  2, 43.15, -2.825552e+00, -3.021201e+00,  1.457905e+00,  1.230033e+03,  4.305092e+02,  1.818567e+02,  8.728594e+01,  4.350563e+01,  2.230937e+01,  1.167487e+01,  6.249076e+00,  3.380856e+00,  1.845689e+00,  1.003376e+00,  5.382520e-01,  2.879626e-01,  1.529866e-01,  8.025253e-02,  4.178793e-02,  2.143420e-02,  1.082573e-02
  2, 41.64, -3.864507e+00, -2.066213e+00,  7.153654e-01,  3.050318e+03,  1.676963e+03,  9.424143e+02,  5.530086e+02,  3.259682e+02,  1.927443e+02,  1.141033e+02,  6.790838e+01,  4.032034e+01,  2.388645e+01,  1.397025e+01,  8.007720e+00,  4.544242e+00,  2.544189e+00,  1.399173e+00,  7.596902e-01,  4.045328e-01,  2.111200e-01
  2, 37.52, -4.259949e-01, -3.992728e+00,  1.785009e+00,  4.329482e+03,  3.661712e+03,  2.770365e+03,  2.122100e+03,  1.619754e+03,  1.228907e+03,  9.250928e+02,  6.914436e+02,  5.104308e+02,  3.717858e+02,  2.650432e+02,  1.838402e+02,  1.249155e+02,  8.319431e+01,  5.449890e+01,  3.540930e+01,  2.268557e+01,  1.420922e+01
  2, 44.12, -1.777436e+00,  1.969114e-01,  1.826757e+00,  4.133250e+03,  2.481376e+03,  1.464795e+03,  8.621329e+02,  4.800788e+02,  2.505893e+02,  1.233291e+02,  5.925629e+01,  2.902669e+01,  1.553332e+01,  9.373691e+00,  6.254645e+00,  4.436478e+00,  3.212426e+00,  2.327009e+00,  1.677671e+00,  1.195360e+00,  8.398682e-01
  2, 47.88, -1.375014e+00,  2.211086e-01,  1.627375e+00,  3.448945e+03,  2.404843e+03,  1.596300e+03,  1.048000e+03,  6.531802e+02,  3.829432e+02,  2.122270e+02,  1.142903e+02,  6.171425e+01,  3.512392e+01,  2.160982e+01,  1.430652e+01,  9.994636e+00,  7.136606e+00,  5.107299e+00,  3.641253e+00,  2.565462e+00,  1.781177e+00
  2, 41.41, -1.566318e+00, -6.904770e-01,  1.213685e+00,  3.539728e+03,  2.025279e+03,  1.247945e+03,  8.603259e+02,  6.183996e+02,  4.524871e+02,  3.329356e+02,  2.453685e+02,  1.796733e+02,  1.304228e+02,  9.303313e+01,  6.480464e+01,  4.430910e+01,  2.962390e+01,  1.930043e+01,  1.228864e+01,  7.606816e+00,  4.574838e+00
  2, 41.83, -2.465424e+00,  1.373047e-01,  9.188083e-01,  7.900328e+02,  8.381802e+02,  6.617719e+02,  5.297008e+02,  4.247891e+02,  3.404719e+02,  2.722782e+02,  2.172928e+02,  1.722934e+02,  1.355964e+02,  1.052481e+02,  8.018841e+01,  6.018731e+01,  4.434654e+01,  3.197768e+01,  2.259686e+01,  1.557400e+01,  1.045583e+01
  2, 44.21, -3.843363e+00,  1.377076e-01,  1.625388e+00,  8.445690e+01,  1.085746e+02,  8.658794e+01,  6.991390e+01,  5.660624e+01,  4.585523e+01,  3.710851e+01,  3.000692e+01,  2.414765e+01,  1.932329e+01,  1.528734e+01,  1.190808e+01,  9.165539e+00,  6.949600e+00,  5.177965e+00,  3.796255e+00,  2.727567e+00,  1.918695e+00
  2, 39.52,  7.576712e-02,  2.273587e-01,  1.634476e+00,  2.057436e+03,  2.036677e+03,  1.600074e+03,  1.272788e+03,  1.012691e+03,  8.040934e+02,  6.360915e+02,  5.014598e+02,  3.921628e+02,  3.039256e+02,  2.318534e+02,  1.732316e+02,  1.272774e+02,  9.163764e+01,  6.445237e+01,  4.433982e+01,  2.965587e+01,  1.922810e+01
  2, 42.02,  1.060941e-01, -9.802289e-01,  1.587795e+00,  1.565265e+03,  1.596180e+03,  1.257647e+03,  1.003080e+03,  8.004272e+02,  6.375540e+02,  5.060372e+02,  4.003084e+02,  3.141440e+02,  2.442551e+02,  1.868381e+02,  1.398008e+02,  1.026216e+02,  7.358738e+01,  5.146090e+01,  3.535981e+01,  2.398034e+01,  1.616088e+01
  2, 42.17, -2.979248e+00, -3.348544e+00,  1.171585e+00,  6.839653e+02,  1.887146e+02,  7.329664e+01,  3.383952e+01,  1.640394e+01,  8.233986e+00,  4.235392e+00,  2.235448e+00,  1.195237e+00,  6.460004e-01,  3.481358e-01,  1.853138e-01,  9.847371e-02,  5.200737e-02,  2.713701e-02,  1.406659e-02,  7.187022e-03,  3.620648e-03
  2, 49.41, -3.908645e+00, -2.979109e-01,  7.409413e-01,  9.565368e+02,  9.076141e+02,  7.084110e+02,  5.599389e+02,  4.423956e+02,  3.485586e+02,  2.733937e+02,  2.135445e+02,  1.653186e+02,  1.267178e+02,  9.549821e+01,  7.038923e+01,  5.095320e+01,  3.609048e+01,  2.493249e+01,  1.683177e+01,  1.104938e+01,  7.046377e+00
  2, 41.06, -1.562728e+00, -2.955523e+00,  8.489505e-01,  6.410640e+03,  3.100623e+03,  1.415688e+03,  6.590559e+02,  3.038049e+02,  1.403956e+02,  6.533292e+01,  3.100455e+01,  1.489105e+01,  7.254009e+00,  3.539581e+00,  1.714484e+00,  8.356126e-01,  4.080507e-01,  1.983257e-01,  9.647441e-02,  4.659073e-02,  2.232255e-02
  2, 36.89, -3.284557e+00, -1.836531e+00,  1.302846e+00,  2.232608e+03,  1.376689e+03,  8.520306e+02,  5.419309e+02,  3.437322e+02,  2.172101e+02,  1.366034e+02,  8.583537e+01,  5.354282e+01,  3.317088e+01,  2.021488e+01,  1.203828e+01,  7.072694e+00,  4.086469e+00,  2.313033e+00,  1.288969e+00,  7.028191e-01,  3.747672e-01
  2, 46.04, -1.025513e+00,  4.811278e-01,  1.354052e+00,  3.422545e+03,  2.549801e+03,  1.720726e+03,  1.116183e+03,  6.779047e+02,  3.897015e+02,  2.184151e+02,  1.257711e+02,  7.725797e+01,  5.148174e+01,  3.633841e+01,  2.636211e+01,  1.938186e+01,  1.424426e+01,  1.038489e+01,  7.504138e+00,  5.344314e+00,  3.744516e+00
  2, 49.55, -3.473169e+00, -1.558556e+00,  1.121789e+00,  1.601065e+03,  1.121890e+03,  7.578387e+02,  5.204785e+02,  3.551415e+02,  2.404531e+02,  1.613945e+02,  1.077273e+02,  7.110632e+01,  4.643008e+01,  2.973125e+01,  1.855688e+01,  1.138717e+01,  6.849108e+00,  4.024300e+00,  2.320666e+00,  1.305968e+00,  7.169542e-01
  2, 47.90, -5.492932e-01,  6.769841e-01,  1.778014e+00,  2.085019e+03,  1.790428e+03,  1.363164e+03,  1.051161e+03,  8.084606e+02,  6.187686e+02,  4.705449e+02,  3.558775e+02,  2.664623e+02,  1.974726e+02,  1.438322e+02,  1.022893e+02,  7.106831e+01,  4.766409e+01,  3.044624e+01,  1.842213e+01,  1.045411e+01,  5.566046e+00
  2, 46.13, -1.072059e+00,  2.343218e-02,  1.647284e+00,  3.480774e+03,  2.617795e+03,  1.857862e+03,  1.336005e+03,  9.516141e+02,  6.653734e+02,  4.515455e+02,  2.958770e+02,  1.857753e+02,  1.124455e+02,  6.584797e+01,  3.787580e+01,  2.221508e+01,  1.351909e+01,  8.543129e+00,  5.569592e+00,  3.671928e+00,  2.417535e+00
  2, 45.64, -1.569259e+00,  4.465738e-01,  1.314744e+00,  2.489568e+03,  1.108021e+03,  4.626263e+02,  2.383082e+02,  1.525467e+02,  1.114128e+02,  8.555150e+01,  6.699770e+01,  5.274018e+01,  4.154473e+01,  3.249169e+01,  2.509942e+01,  1.921015e+01,  1.451606e+01,  1.079927e+01,  7.919541e+00,  5.700909e+00,  4.024348e+00
  2, 42.53, -2.435771e+00, -1.030198e+00,  1.760167e+00,  1.920222e+03,  7.054281e+02,  3.143730e+02,  1.840015e+02,  1.239174e+02,  8.887296e+01,  6.519785e+01,  4.825828e+01,  3.563148e+01,  2.614698e+01,  1.889424e+01,  1.335722e+01,  9.279945e+00,  6.310338e+00,  4.184866e+00,  2.713218e+00,  1.710765e+00,  1.048188e+00
  2, 41.85, -1.709243e+00, -3.664753e-01,  8.326911e-01,  1.906215e+03,  1.585665e+03,  1.203579e+03,  9.328602e+02,  7.240653e+02,  5.608231e+02,  4.324370e+02,  3.319819e+02,  2.524357e+02,  1.899059e+02,  1.402987e+02,  1.012247e+02,  7.165269e+01,  4.957901e+01,  3.342498e+01,  2.200783e+01,  1.408146e+01,  8.748445e+00
  2, 31.74, -7.556568e-02,  3.326639e-01,  7.879389e-01,  5.360371e+03,  4.717674e+03,  3.505425e+03,  2.601232e+03,  1.913343e+03,  1.405350e+03,  1.036945e+03,  7.726229e+02,  5.787548e+02,  4.349743e+02,  3.250682e+02,  2.399242e+02,  1.753625e+02,  1.262994e+02,  8.925624e+01,  6.194287e+01,  4.198221e+01,  2.774145e+01
