 nlayers, height, LOG10C01, LOG10C02, LOG10C03, LOG10T01, LOG10T02, Z01, Z02, Z03, Z04, Z05, Z06, Z07, Z08, Z09, Z10, Z11, Z12, Z13, Z14, Z15, Z16, Z17, Z18
  3, 48.70, -3.910043e-01, -3.733006e+00, -2.784636e+00,  1.812017e+00,  1.058422e+00,  1.666024e+03,  1.495400e+03,  1.153369e+03,  9.008105e+02,  7.023344e+02,  5.453022e+02,  4.208432e+02,  3.229674e+02,  2.452157e+02,  1.839799e+02,  1.353504e+02,  9.704043e+01,  6.809966e+01,  4.666108e+01,  3.125836e+01,  2.068534e+01,  1.354586e+01,  8.769379e+00
  3, 30.54, -1.098434e+00, -8.661641e-01, -3.591140e+00,  1.173127e+00,  7.208037e-01,  1.171288e+04,  8.203871e+03,  5.738523e+03,  4.147662e+03,  2.943308e+03,  2.011188e+03,  1.316030e+03,  8.283805e+02,  4.997401e+02,  2.898129e+02,  1.601778e+02,  8.381943e+01,  4.211788e+01,  2.031804e+01,  9.386113e+00,  4.196942e+00,  1.807142e+00,  7.511570e-01
  3, 43.74, -1.180327e+00, -1.366987e+00, -3.285959e+00,  1.331142e+00,  8.047920e-01,  4.334474e+03,  3.223476e+03,  2.344371e+03,  1.746029e+03,  1.277010e+03,  9.014546e+02,  6.105070e+02,  3.979388e+02,  2.486561e+02,  1.493042e+02,  8.540995e+01,  4.624409e+01,  2.400919e+01,  1.194711e+01,  5.685124e+00,  2.613546e+00,  1.155384e+00,  4.923765e-01
  3, 37.24, -2.524652e+00, -2.314313e+00, -3.049556e-01,  7.303080e-01,  8.804655e-01,  1.518104e+03,  1.303319e+03,  1.001862e+03,  7.839694e+02,  6.139626e+02,  4.797597e+02,  3.732739e+02,  2.892186e+02,  2.220530e+02,  1.687467e+02,  1.260161e+02,  9.197609e+01,  6.589670e+01,  4.617298e+01,  3.153798e+01,  2.104370e+01,  1.364876e+01,  8.597170e+00
  3, 47.93, -2.804436e+00, -3.446737e+00,  8.068855e-02,  1.479908e+00,  1.785284e+00,  6.062161e+02,  1.057872e+02,  2.655603e+01,  1.463184e+01,  1.081221e+01,  8.501567e+00,  6.771474e+00,  5.424002e+00,  4.341698e+00,  3.466753e+00,  2.743884e+00,  2.143570e+00,  1.658564e+00,  1.267269e+00,  9.539614e-01,  7.085823e-01,  5.174257e-01,  3.712536e-01
  3, 35.50, -2.079256e-01, -8.716018e-01, -2.808665e+00,  1.228000e+00,  1.379720e+00,  4.198184e+03,  3.712106e+03,  2.847719e+03,  2.211814e+03,  1.716011e+03,  1.331608e+03,  1.037493e+03,  8.151361e+02,  6.424043e+02,  5.048867e+02,  3.904024e+02,  2.932108e+02,  2.131457e+02,  1.486228e+02,  9.875448e+01,  6.258148e+01,  3.760102e+01,  2.139581e+01
  3, 39.66, -2.995197e+00, -2.895885e+00,  5.522278e-01,  7.016239e-01,  1.072896e+00,  2.394191e+02,  3.454075e+02,  2.755627e+02,  2.224706e+02,  1.801704e+02,  1.460305e+02,  1.182687e+02,  9.573153e+01,  7.713381e+01,  6.181447e+01,  4.898993e+01,  3.824174e+01,  2.950758e+01,  2.243897e+01,  1.677615e+01,  1.234856e+01,  8.913515e+00,  6.303913e+00
  3, 34.30, -1.505353e+00, -2.908685e-01, -8.164457e-01,  1.097057e+00,  1.273655e+00,  4.203348e+03,  2.413964e+03,  1.583125e+03,  1.157755e+03,  8.703210e+02,  6.617779e+02,  5.073552e+02,  3.932894e+02,  3.068400e+02,  2.397081e+02,  1.849526e+02,  1.391727e+02,  1.018750e+02,  7.198656e+01,  4.883185e+01,  3.183671e+01,  1.984690e+01,  1.182677e+01
  3, 36.63, -2.614340e+00,  4.054547e-01, -1.188454e+00,  9.696414e-01,  7.753071e-01,  6.730410e+02,  8.102168e+02,  6.364157e+02,  5.132145e+02,  4.272950e+02,  3.697439e+02,  3.293636e+02,  2.967802e+02,  2.658294e+02,  2.343719e+02,  2.015223e+02,  1.676851e+02,  1.347805e+02,  1.039666e+02,  7.650823e+01,  5.362356e+01,  3.555205e+01,  2.223311e+01
  3, 41.48, -9.418363e-01,  1.718516e-01, -5.732414e-01,  1.443911e+00,  1.026453e+00,  4.567003e+03,  3.474056e+03,  2.471888e+03,  1.757328e+03,  1.207859e+03,  7.933200e+02,  4.969958e+02,  3.010182e+02,  1.788540e+02,  1.079448e+02,  6.840619e+01,  4.668739e+01,  3.431247e+01,  2.612076e+01,  1.986345e+01,  1.480658e+01,  1.066852e+01,  7.383269e+00
