 nlayers, height, LOG10C01, LOG10C02, LOG10C03, LOG10C04, LOG10T01, LOG10T02, LOG10T03, Z01, Z02, Z03, Z04, Z05, Z06, Z07, Z08, Z09, Z10, Z11, Z12, Z13, Z14, Z15, Z16, Z17, Z18
  4, 38.32, -3.983854e+00, -3.598353e+00, -8.249378e-01, -2.359224e+00,  1.002319e+00,  1.457121e+00,  1.049507e+00,  5.788202e+02,  5.392101e+02,  4.633299e+02,  3.945016e+02,  3.259455e+02,  2.597570e+02,  1.991351e+02,  1.469268e+02,  1.038491e+02,  7.033116e+01,  4.527184e+01,  2.752900e+01,  1.597883e+01,  8.851259e+00,  4.676923e+00,  2.381015e+00,  1.165119e+00,  5.500867e-01
  4, 37.64, -2.494808e+00,  2.959884e-01, -2.298572e+00,  3.215935e-02,  1.402358e+00,  1.378485e+00,  7.436832e-01,  5.587195e+02,  3.397044e+02,  2.566098e+02,  2.035464e+02,  1.626632e+02,  1.303618e+02,  1.044794e+02,  8.369392e+01,  6.668066e+01,  5.275583e+01,  4.116939e+01,  3.155164e+01,  2.389154e+01,  1.791371e+01,  1.335252e+01,  9.944190e+00,  7.355383e+00,  5.362864e+00
  4, 38.64, -5.937946e-01, -1.340582e+00, -1.196779e-01, -3.272781e+00,  1.677971e+00,  1.602006e+00,  9.330061e-01,  4.530682e+03,  3.699212e+03,  2.754196e+03,  2.075935e+03,  1.557224e+03,  1.159774e+03,  8.561088e+02,  6.270923e+02,  4.536932e+02,  3.246633e+02,  2.288177e+02,  1.584627e+02,  1.083772e+02,  7.249440e+01,  4.689204e+01,  2.927395e+01,  1.755451e+01,  1.015099e+01
  4, 36.23,  1.601476e-01, -4.089809e-01, -1.621911e+00, -2.588167e+00,  1.818646e+00,  9.603924e-01,  1.267514e+00,  2.535069e+03,  2.529427e+03,  1.989292e+03,  1.584005e+03,  1.261723e+03,  1.003061e+03,  7.945516e+02,  6.272785e+02,  4.913098e+02,  3.813752e+02,  2.914199e+02,  2.180958e+02,  1.604700e+02,  1.156502e+02,  8.137149e+01,  5.597362e+01,  3.743818e+01,  2.429210e+01
  4, 49.77,  2.489406e-01, -1.283154e+00, -3.801637e-01, -4.127094e-01,  1.426768e+00,  1.609762e+00,  1.330715e+00,  6.425424e+02,  7.518195e+02,  5.971873e+02,  4.796226e+02,  3.856405e+02,  3.097153e+02,  2.480193e+02,  1.980367e+02,  1.569209e+02,  1.231937e+02,  9.511796e+01,  7.182094e+01,  5.330709e+01,  3.901354e+01,  2.842137e+01,  2.089276e+01,  1.546864e+01,  1.140034e+01
  4, 39.54, -5.221258e-01, -4.935105e-01, -3.048103e+00, -3.621672e+00,  1.617058e+00,  1.280595e+00,  1.152033e+00,  3.951310e+03,  3.295167e+03,  2.477940e+03,  1.886528e+03,  1.430476e+03,  1.077667e+03,  8.051787e+02,  5.971100e+02,  4.371394e+02,  3.155923e+02,  2.228650e+02,  1.531904e+02,  1.034944e+02,  6.895580e+01,  4.544066e+01,  2.970129e+01,  1.901641e+01,  1.178638e+01
  4, 40.94,  3.659496e-01, -2.182274e+00, -4.231459e-01, -3.745605e+00,  1.832802e+00,  1.633675e+00,  1.495109e+00,  1.173190e+03,  1.345508e+03,  1.069293e+03,  8.595814e+02,  6.920203e+02,  5.567443e+02,  4.469213e+02,  3.580611e+02,  2.850910e+02,  2.253744e+02,  1.758000e+02,  1.346895e+02,  1.017183e+02,  7.546072e+01,  5.482969e+01,  3.907121e+01,  2.717887e+01,  1.843224e+01
  4, 31.26, -1.773671e-01, -1.742378e-01, -2.379797e+00, -2.621540e+00,  1.157846e+00,  1.526093e+00,  1.242786e+00,  6.294429e+03,  5.486500e+03,  4.198520e+03,  3.253081e+03,  2.513866e+03,  1.932589e+03,  1.475243e+03,  1.118717e+03,  8.384072e+02,  6.202785e+02,  4.494442e+02,  3.170117e+02,  2.188517e+02,  1.477371e+02,  9.779775e+01,  6.412032e+01,  4.155674e+01,  2.647701e+01
  4, 32.51, -3.942025e+00, -2.266819e+00, -2.721048e-01, -1.145501e+00,  1.906401e+00,  1.905725e+00,  1.465657e+00,  3.550347e+02,  1.898361e+02,  1.050568e+02,  5.517243e+01,  2.680239e+01,  1.259773e+01,  6.186927e+00,  3.458060e+00,  2.206037e+00,  1.531967e+00,  1.102389e+00,  8.106296e-01,  6.168928e-01,  4.859362e-01,  3.917001e-01,  3.182152e-01,  2.559725e-01,  2.016007e-01
  4, 30.45, -1.543866e+00, -1.857596e+00, -2.457441e+00, -3.565908e+00,  1.380002e+00,  1.881860e+00,  1.828368e+00,  1.150825e+04,  6.987996e+03,  4.197415e+03,  2.550727e+03,  1.521581e+03,  8.951915e+02,  5.218870e+02,  3.041767e+02,  1.760599e+02,  1.010492e+02,  5.669834e+01,  3.075407e+01,  1.627035e+01,  8.358726e+00,  4.147730e+00,  2.001051e+00,  9.319037e-01,  4.189050e-01
