 nlayers, height, LOG10C01, LOG10C02, LOG10C03, LOG10C04, LOG10C05, LOG10T01, LOG10T02, LOG10T03, LOG10T04, Z01, Z02, Z03, Z04, Z05, Z06, Z07, Z08, Z09, Z10, Z11, Z12, Z13, Z14, Z15, Z16, Z17, Z18
  5, 33.08,  5.194455e-01,  1.174944e-01, -1.703946e+00, -2.087160e+00, -3.405222e+00,  1.902976e+00,  7.062312e-01,  9.414669e-01,  1.120583e+00,  2.091836e+03,  2.398316e+03,  1.906348e+03,  1.532793e+03,  1.234281e+03,  9.932470e+02,  7.975280e+02,  6.391315e+02,  5.090252e+02,  4.025172e+02,  3.140666e+02,  2.406870e+02,  1.818081e+02,  1.348944e+02,  9.801405e+01,  6.982971e+01,  4.855175e+01,  3.290154e+01
  5, 31.00, -3.320826e+00, -5.727149e-01, -1.733783e+00, -2.411444e+00, -2.887439e+00,  1.285557e+00,  9.402473e-01,  1.120835e+00,  1.042405e+00,  2.035632e+03,  1.873397e+03,  1.592538e+03,  1.349514e+03,  1.110387e+03,  8.799783e+02,  6.697287e+02,  4.898312e+02,  3.426517e+02,  2.292764e+02,  1.454845e+02,  8.694078e+01,  4.941810e+01,  2.668790e+01,  1.366942e+01,  6.702745e+00,  3.134836e+00,  1.402392e+00
  5, 46.60, -7.278250e-01, -2.432718e+00, -1.273505e+00, -2.647457e+00, -2.759610e+00,  1.037109e+00,  1.579871e+00,  1.375280e+00,  7.988289e-01,  2.950521e+03,  2.626475e+03,  2.157326e+03,  1.747498e+03,  1.362375e+03,  1.017535e+03,  7.282458e+02,  5.019366e+02,  3.327660e+02,  2.131956e+02,  1.313196e+02,  7.745958e+01,  4.425083e+01,  2.442417e+01,  1.297114e+01,  6.667081e+00,  3.295202e+00,  1.565770e+00
  5, 31.12, -2.784243e+00, -1.932794e+00, -2.664134e+00, -8.104902e-01,  4.620458e-01,  1.705909e+00,  1.526606e+00,  1.679402e+00,  1.670601e+00,  1.973326e+03,  8.773625e+02,  5.138605e+02,  3.099378e+02,  1.769116e+02,  9.588746e+01,  5.035916e+01,  2.676728e+01,  1.496469e+01,  9.103088e+00,  5.928588e+00,  3.944431e+00,  2.578725e+00,  1.604259e+00,  9.377714e-01,  5.210169e-01,  2.797271e-01,  1.502328e-01
  5, 41.72, -3.674315e-01, -2.155709e+00, -1.155760e+00, -2.837320e+00, -2.636349e+00,  7.241223e-01,  1.150830e+00,  8.834505e-01,  1.234389e+00,  3.779035e+03,  3.621959e+03,  3.053574e+03,  2.517044e+03,  2.006141e+03,  1.539358e+03,  1.134057e+03,  8.030531e+02,  5.441486e+02,  3.532192e+02,  2.178814e+02,  1.269255e+02,  7.061546e+01,  3.749377e+01,  1.896463e+01,  9.224363e+00,  4.296902e+00,  1.921519e+00
  5, 33.06, -1.045120e-01, -5.265236e-01, -3.535411e+00, -1.438697e-01, -2.932809e+00,  8.381039e-01,  1.561261e+00,  1.940902e+00,  1.758743e+00,  4.830322e+03,  4.397231e+03,  3.491969e+03,  2.840803e+03,  2.318561e+03,  1.878687e+03,  1.500446e+03,  1.177831e+03,  9.034164e+02,  6.765606e+02,  4.920046e+02,  3.466804e+02,  2.388046e+02,  1.604422e+02,  1.045278e+02,  6.587634e+01,  3.972134e+01,  2.279149e+01
  5, 42.47, -2.457475e+00, -2.696656e+00, -1.958876e+00, -2.353972e+00,  1.245641e-01,  7.069772e-01,  1.605071e+00,  1.138800e+00,  1.095763e+00,  1.408459e+03,  4.419690e+02,  1.478997e+02,  5.972148e+01,  3.151573e+01,  2.115450e+01,  1.580396e+01,  1.225709e+01,  9.605593e+00,  7.550347e+00,  5.901119e+00,  4.560896e+00,  3.496265e+00,  2.648828e+00,  1.977843e+00,  1.457372e+00,  1.055435e+00,  7.506050e-01
  5, 42.96,  3.284387e-01,  1.965269e-01,  6.857158e-01, -3.657521e+00, -3.390926e+00,  1.976020e+00,  8.163779e-01,  1.591683e+00,  1.907581e+00,  1.029594e+03,  1.179862e+03,  9.375749e+02,  7.536374e+02,  6.066752e+02,  4.880347e+02,  3.917225e+02,  3.137991e+02,  2.498150e+02,  1.974569e+02,  1.539956e+02,  1.179586e+02,  8.906005e+01,  6.604910e+01,  4.797178e+01,  3.416639e+01,  2.375072e+01,  1.609417e+01
  5, 32.84,  1.558426e-01, -3.907139e+00, -2.389729e+00, -2.880207e+00,  6.264367e-01,  1.800419e+00,  1.732653e+00,  1.870259e+00,  1.713910e+00,  3.633832e+03,  3.529592e+03,  2.766832e+03,  2.196200e+03,  1.743204e+03,  1.380389e+03,  1.088655e+03,  8.553238e+02,  6.663390e+02,  5.141850e+02,  3.903046e+02,  2.899204e+02,  2.115651e+02,  1.510954e+02,  1.052458e+02,  7.159489e+01,  4.728502e+01,  3.024143e+01
  5, 46.73, -2.491192e+00, -5.098608e-01, -8.775613e-01, -2.641135e+00, -2.414698e+00,  1.881134e+00,  7.409295e-01,  1.604952e+00,  9.705858e-01,  1.673835e+03,  6.101351e+02,  2.259577e+02,  1.011788e+02,  5.755560e+01,  3.990778e+01,  3.010671e+01,  2.329237e+01,  1.812649e+01,  1.422623e+01,  1.124536e+01,  8.894435e+00,  6.983382e+00,  5.350564e+00,  3.946785e+00,  2.788375e+00,  1.871859e+00,  1.190146e+00
